I, [2015-01-24T16:02:44.369508 #21721]  INFO -- Kitchen: -----> Starting Kitchen (v1.3.1)
E, [2015-01-24T16:02:44.369964 #21721] ERROR -- Kitchen: ------Exception-------
E, [2015-01-24T16:02:44.370000 #21721] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2015-01-24T16:02:44.370026 #21721] ERROR -- Kitchen: Message: Kitchen YAML file /home/laura/Programs/vagrant-chef/cookbook/attributes/.kitchen.yml does not exist.
E, [2015-01-24T16:02:44.370050 #21721] ERROR -- Kitchen: ------Backtrace-------
E, [2015-01-24T16:02:44.370073 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2015-01-24T16:02:44.370096 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:139:in `data'
E, [2015-01-24T16:02:44.370119 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:118:in `suites'
E, [2015-01-24T16:02:44.370142 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:169:in `filter_instances'
E, [2015-01-24T16:02:44.370165 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:128:in `build_instances'
E, [2015-01-24T16:02:44.370188 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:104:in `instances'
E, [2015-01-24T16:02:44.370211 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2015-01-24T16:02:44.370233 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2015-01-24T16:02:44.370259 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:38:in `block in call'
E, [2015-01-24T16:02:44.370282 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2015-01-24T16:02:44.370305 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:37:in `call'
E, [2015-01-24T16:02:44.370328 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:56:in `perform'
E, [2015-01-24T16:02:44.370350 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:161:in `block (2 levels) in <class:CLI>'
E, [2015-01-24T16:02:44.370373 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2015-01-24T16:02:44.370396 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2015-01-24T16:02:44.370419 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:304:in `invoke_task'
E, [2015-01-24T16:02:44.370443 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2015-01-24T16:02:44.370480 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2015-01-24T16:02:44.370504 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `block in <top (required)>'
E, [2015-01-24T16:02:44.370528 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2015-01-24T16:02:44.370550 #21721] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `<top (required)>'
E, [2015-01-24T16:02:44.370573 #21721] ERROR -- Kitchen: /usr/bin/kitchen:15:in `load'
E, [2015-01-24T16:02:44.370596 #21721] ERROR -- Kitchen: /usr/bin/kitchen:15:in `<main>'
E, [2015-01-24T16:02:44.370619 #21721] ERROR -- Kitchen: ----------------------
